member_id,name,name_alt,roman_name,gender,dob,age,district,district_en,committees,committees_en,terms,party,party_en,party_group,party_group_en,loyalty,loyalty_rank,attendance,attendance_rank,absenteeism,absenteeism_rank,dp_vote_freq,dp_alignment,jeong_alignment,gugmin_alignment
9771174,강득구,姜得求,Kang Deukgu,M,1963-05-27,59.087671232876716,경기 안양시만안구,Gyeonggi | Anyang Manan,"['교육위원회', '예산결산특별위원회']","['Education Committee', 'Special Committee on Budget and Accounts']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9885756447863506,166.0,0.8983353151010701,85,0.10166468489892988,223,0.9761747187293184,0.9885756447863506,0.9205773508643329,0.9120642479887036
9771203,임호선,林昊宣,Lim Hoseon,M,1964-09-27,57.75068493150685,충북 증평군진천군괴산군음성군,N. Chungcheong | Jeungpyeong-Jincheon-Eumseong,['행정안전위원회'],['Public Administration and Security Committee'],1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9984894442476239,29.0,0.9524375743162902,35,0.04756242568370983,272,0.99812734082397,0.9984894442476239,0.9215996885918984,0.9226869021587009
9771162,박영순,朴英淳,Park Youngsoon,M,1964-12-07,57.556164383561644,대전 대덕구,Daejeon | Daedeok,['국토교통위원회'],"['Land, Infrastructure and Transport Committee']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9892156605163076,161.0,0.8947681331747919,86,0.10523186682520813,222,0.9813953488372092,0.9892156605163076,0.916335603992138,0.913398566874347
9771154,이병훈,李炳勳,Lee Byunghoon,M,1957-03-18,65.27945205479452,광주 동구남구을,Gwangju | Dong-Nam B,['문화체육관광위원회'],"['Culture, Sports and Tourism Committee']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9935154262811812,130.0,0.7824019024970273,172,0.21759809750297265,136,0.9878419452887538,0.9935154262811812,0.9101529596341129,0.9196912874277332
9771191,이규민,李圭閔,Lee Kyumin,M,1968-05-10,54.134246575342466,경기 안성시,Gyeonggi | Anseong,['산업통상자원중소벤처기업위원회'],"['Trade, Industry, Energy, SMEs, and Startups Committee']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9901170814398236,157.0,0.6183115338882283,233,0.38168846611177165,75,0.9865384615384616,0.9901170814398236,0.9074680680895005,0.8814471925064998
9770450,조경태,趙慶泰,Cho Kyoungtae,M,1968-01-10,54.463013698630135,부산 사하구을,Busan | Saha B,"['교육위원회', '예산결산특별위원회']","['Education Committee', 'Special Committee on Budget and Accounts']",5,국민의힘,People Power Party,국민의힘,People Power Party,0.891645363156279,269.0,0.6153388822829964,234,0.3846611177170036,74,0.8599033816425121,0.8201855004622709,0.7775080893126706,0.891645363156279
9771108,권영세,權寧世,Kwon Youngse,M,1959-02-24,63.33972602739726,서울 용산구,Seoul | Yongsan,['환경노동위원회'],['Environment and Labor Committee'],4,국민의힘,People Power Party,국민의힘,People Power Party,0.9593919330688419,217.0,0.4215219976218787,271,0.5784780023781213,37,0.9661495063469676,0.9549312046785846,0.9100292467104564,0.9593919330688419
9770963,박찬대,朴贊大,Park Chandae,M,1967-05-10,55.134246575342466,인천 연수구갑,Incheon | Yeonsu A,['교육위원회'],['Education Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9952901822271676,111.0,0.8043995243757431,158,0.19560047562425686,149,0.9926090169992609,0.9952901822271676,0.9127996771455847,0.9150567569222225
9771017,안호영,安浩永,An Hoyoung,M,1965-10-11,56.71232876712329,전북 완주군진안군무주군장수군,N. Jeolla | Wanju-Jinan-Muju-Jangsu,['환경노동위원회'],['Environment and Labor Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9965911745840543,81.0,0.9512485136741974,38,0.04875148632580262,268,0.99375,0.9965911745840543,0.9198347946910268,0.9251679551754372
9770723,김민기,金敏基,Kim Minki,M,1966-04-28,56.16712328767123,경기 용인시을,Gyeonggi | Yongin B,"['국방위원회', '정보위원회']","['National Defense Committee', 'Intelligence Committee']",3,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9793594026243392,186.0,0.9994054696789536,1,0.0005945303210463937,307,0.982153480071386,0.9793594026243392,0.9075336718972787,0.9058441777922175
9771113,오기형,吳奇炯,Oh Gihyoung,M,1966-11-25,55.58904109589041,서울 도봉구을,Seoul | Dobong B,['정무위원회'],['National Policy Committee'],1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9940883087913828,122.0,0.9607609988109393,28,0.03923900118906065,278,0.9900990099009901,0.9940883087913828,0.9310179396203143,0.9320287503186638
9771172,오영환,吳永煥,Oh Yeonghwan,M,1988-02-10,34.37808219178082,경기 의정부시갑,Gyeonggi | Uijeongbu A,"['행정안전위원회', '예산결산특별위원회']","['Public Administration and Security Committee', 'Special Committee on Budget and Accounts']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.998295544952426,35.0,0.816884661117717,150,0.18311533888228304,158,0.9963609898107715,0.998295544952426,0.9391014466830198,0.9366842459381923
9770926,전혜숙,全惠淑,Jun Hyesook,F,1955-05-05,67.14794520547945,서울 광진구갑,Seoul | Gwangjin A,"['과학기술정보방송통신위원회', '예산결산특별위원회']","['Science, ICT, Future Planning, Broadcasting and Communications Committee', 'Special Committee on Budget and Accounts']",3,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9968730570276197,70.0,0.7330558858501783,194,0.26694411414982167,114,0.9943227899432279,0.9968730570276197,0.919900685121525,0.92428787855003
9771215,주철현,朱哲鉉,Ju Cheolhyeon,M,1959-03-12,63.295890410958904,전남 여수시갑,S. Jeolla | Yeosu A,['농림축산식품해양수산위원회'],"['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9889357589512348,163.0,0.9637336504161712,23,0.036266349583828794,284,0.9895126465144972,0.9889357589512348,0.9139498544400866,0.9208583431705524
9771251,이영,李永,Lee Young,F,1969-06-06,53.06027397260274,비례대표,Proportional seat,['행정안전위원회'],['Public Administration and Security Committee'],1,국민의힘,People Power Party,국민의힘,People Power Party,0.8663466101598536,277.0,0.7788347205707491,175,0.2211652794292509,133,0.7122137404580152,0.7897294191654631,0.7548296859968268,0.8663466101598536
9771058,송옥주,宋玉珠,Song Okjoo,F,1965-12-20,56.52054794520548,경기 화성시갑,Gyeonggi | Hwaseong A,['환경노동위원회'],['Environment and Labor Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9977990719695191,48.0,0.9399524375743162,49,0.060047562425683765,257,0.9949399114484504,0.9977990719695191,0.922152541010067,0.9234280007991773
9770768,박덕흠,朴德欽,Park Dukhyum,M,1953-10-18,68.69315068493151,충북 보은군옥천군영동군괴산군,N. Chungcheong | Boeun-Okcheon-Yeongdong-Goesan,['농림축산식품해양수산위원회'],"['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee']",3,국민의힘,People Power Party,국민의힘,People Power Party,0.9506229797319355,224.0,0.11831153388822829,299,0.8816884661117717,9,0.9246231155778895,0.9474293104265223,0.931399353961484,0.9506229797319355
9770967,송영길,宋永吉,Song Younggil,M,1963-03-21,59.271232876712325,인천 계양구을,Incheon | Gyeyang B,['외교통일위원회'],['Foreign Affairs and Unification Committee'],5,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9939238490199349,125.0,0.5546967895362663,253,0.44530321046373367,55,0.9892818863879957,0.9939238490199349,0.9078365489514459,0.8884228414983366
9770991,김한정,金漢正,Kim Hanjung,M,1963-09-06,58.80821917808219,경기 남양주시을,Gyeonggi | Namyangju B,['정무위원회'],['National Policy Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.998746295611398,18.0,0.6302021403091558,229,0.3697978596908442,79,0.9971698113207547,0.998746295611398,0.8978396990430554,0.9152829788119917
9771143,양금희,梁琴喜,Yang Kumhee,F,1961-11-15,60.61643835616438,대구 북구갑,Daegu | Buk A,"['산업통상자원중소벤처기업위원회', '여성가족위원회']","['Trade, Industry, Energy, SMEs, and Startups Committee', 'Gender Equality and Family Committee']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.9053922586680482,266.0,0.8436385255648038,133,0.1563614744351962,175,0.8005637773079634,0.8166634201579143,0.7764602234733419,0.9053922586680482
9771268,김병주,金柄周,Kim Byungjoo,M,1962-02-07,60.38630136986301,비례대표,Proportional seat,"['국회운영위원회', '국방위원회', '예산결산특별위원회']","['House Steering Committee', 'National Defense Committee', 'Special Committee on Budget and Accounts']",1,더불어시민당,Platform Party,더불어민주당,Democratic Party of Korea,0.9953334944911655,109.0,0.8608799048751486,118,0.13912009512485135,190,0.9910220994475138,0.9953334944911655,0.9187413053026134,0.9302443054215946
9771231,최형두,崔炯斗,Choi Hyungdu,M,1962-10-23,59.679452054794524,경남 창원시마산합포구,S. Gyeongsang | Changwon Masanhappo,"['문화체육관광위원회', '예산결산특별위원회']","['Culture, Sports and Tourism Committee', 'Special Committee on Budget and Accounts']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.9335677532440588,250.0,0.5820451843043996,244,0.41795481569560045,64,0.8794688457609806,0.8892198096829811,0.8351360946188391,0.9335677532440588
9771264,정필모,鄭必模,Jung Pilmo,M,1958-06-03,64.06849315068493,비례대표,Proportional seat,['과학기술정보방송통신위원회'],"['Science, ICT, Future Planning, Broadcasting and Communications Committee']",1,더불어시민당,Platform Party,더불어민주당,Democratic Party of Korea,0.9965141841908252,84.0,0.9910820451843044,6,0.008917954815695572,301,0.9952009598080384,0.9965141841908252,0.9261365575845995,0.9240513438683998
9771252,최승재,崔承宰,Choi Seungjae,M,1967-07-11,54.964383561643835,비례대표,Proportional seat,['산업통상자원중소벤처기업위원회'],"['Trade, Industry, Energy, SMEs, and Startups Committee']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.7974154815994486,296.0,0.7538644470868014,185,0.24613555291319855,123,0.7381703470031545,0.7220901998975444,0.7195216690575863,0.7974154815994486
9771208,김성주,金成柱,Kim Sungjoo,M,1964-04-10,58.21643835616438,전북 전주시병,N. Jeolla | Jeonju C,['보건복지위원회'],['Health and Welfare Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.989438929874457,160.0,0.8995243757431629,84,0.10047562425683709,224,0.9814937210839392,0.989438929874457,0.9205971040320455,0.9102480669617627
9771132,안병길,安炳吉,An Byunggil,M,1962-02-02,60.4,부산 서구동구,Busan | Seo-Dong,['농림축산식품해양수산위원회'],"['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.8348499605304731,285.0,0.8020214030915577,160,0.19797859690844233,148,0.7583395107487028,0.747483914672256,0.7095390825629944,0.8348499605304731
9771285,김병욱,金炳旭,Kim Byongwook,M,1977-04-30,45.16164383561644,경북 포항시남구울릉군,N. Gyeongsang | Pohang Nam-Ulleung,['교육위원회'],['Education Committee'],1,국민의힘,People Power Party,국민의힘,People Power Party,0.9301503233015543,251.0,0.5998810939357907,241,0.4001189060642093,67,0.8206144697720515,0.8583595452945266,0.8063588068997175,0.9301503233015543
9771207,이상직,李相稷,Lee Sangjik,M,1963-01-30,59.40821917808219,전북 전주시을,N. Jeolla | Jeonju B,['국방위원회'],['National Defense Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9839775606510474,179.0,0.31985731272294887,284,0.6801426872770511,24,0.9776951672862454,0.9839775606510474,0.9583856405701872,0.9240157100400747
9770954,장제원,張濟元,Chang Jewon,M,1967-04-13,55.20821917808219,부산 사상구,Busan | Sasang,['법제사법위원회'],['Legislation and Judiciary Committee'],3,국민의힘,People Power Party,국민의힘,People Power Party,0.9469309922008687,233.0,0.3097502972651605,286,0.6902497027348395,22,0.9289827255278311,0.889297410070323,0.8794056725680667,0.9469309922008687
9771171,김은혜,金恩慧,Kim Eunhye,F,1971-01-06,51.47397260273973,경기 성남시분당구갑,Gyeonggi | Seongnam Bundang A,['국토교통위원회'],"['Land, Infrastructure and Transport Committee']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.8373300946901531,284.0,0.2681331747919144,291,0.7318668252080855,17,0.6674057649667405,0.6966572796690144,0.6373131284847763,0.8373300946901531
9771223,김형동,金亨東,Kim Hyungdong,M,1975-03-25,47.26027397260274,경북 안동시예천군,N. Gyeongsang | Andong-Yecheon,['행정안전위원회'],['Public Administration and Security Committee'],1,국민의힘,People Power Party,국민의힘,People Power Party,0.9346358053759739,248.0,0.751486325802616,189,0.24851367419738402,118,0.9003164556962026,0.905552013822165,0.8629383980368233,0.9346358053759739
9771221,윤재갑,尹才鉀,Yoon Jaekab,M,1955-02-10,67.37808219178082,전남 해남군완도군진도군,S. Jeolla | Haenam-Wando-Jindo,['농림축산식품해양수산위원회'],"['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9968953050217847,68.0,0.9726516052318668,19,0.027348394768133222,289,0.9963325183374083,0.9968953050217847,0.919514648614875,0.9243674221844185
9770767,박대출,朴大出,Park Daechul,M,1961-03-18,61.27945205479452,경남 진주시갑,S. Gyeongsang | Jinju A,['과학기술정보방송통신위원회'],"['Science, ICT, Future Planning, Broadcasting and Communications Committee']",3,국민의힘,People Power Party,국민의힘,People Power Party,0.678395749026852,299.0,0.6093935790725327,238,0.39060642092746733,70,0.6214634146341463,0.5455356032666121,0.5341857999729589,0.678395749026852
9771225,김영식,金英植,Kim Yeungshik,M,1959-07-18,62.945205479452056,경북 구미시을,N. Gyeongsang | Gumi B,['과학기술정보방송통신위원회'],"['Science, ICT, Future Planning, Broadcasting and Communications Committee']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.918339899209047,258.0,0.6521997621878716,223,0.34780023781212843,85,0.7912488605287147,0.80857766362094,0.8013482905758419,0.918339899209047
9770676,홍영표,洪永杓,Hong Youngpyo,M,1957-04-30,65.16164383561645,인천 부평구을,Incheon | Bupyeong B,['국방위원회'],['National Defense Committee'],4,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.994969593606916,114.0,0.6736028537455411,216,0.3263971462544589,92,0.9955869373345102,0.994969593606916,0.9152866932793268,0.9123602817423743
9771010,어기구,魚基龜,Eoh Kiyku,M,1963-01-10,59.463013698630135,충남 당진시,S. Chungcheong | Dangjin,"['국회운영위원회', '농림축산식품해양수산위원회', '예산결산특별위원회']","['House Steering Committee', 'Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee', 'Special Committee on Budget and Accounts']",2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9945107215480127,118.0,0.9892984542211652,9,0.010701545778834753,298,0.9939903846153846,0.9945107215480127,0.9295791264450419,0.9241178192170725
9770836,이학영,李學永,Lee Hackyoung,M,1952-04-16,70.2,경기 군포시,Gyeonggi | Gunpo,['산업통상자원중소벤처기업위원회'],"['Trade, Industry, Energy, SMEs, and Startups Committee']",3,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9975979228988952,54.0,0.753269916765755,186,0.24673008323424495,122,0.9960536700868192,0.9975979228988952,0.9052414388507917,0.9066890308857009
9770952,최인호,崔仁昊,Choi Inho,M,1966-10-15,55.701369863013696,부산 사하구갑,Busan | Saha A,['농림축산식품해양수산위원회'],"['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee']",2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9972125006221912,66.0,0.7550535077288941,183,0.24494649227110588,124,0.9968503937007874,0.9972125006221912,0.9274298673512034,0.9324930812991602
9771183,홍정민,洪貞敏,Hong Jungmin,F,1978-11-24,43.59178082191781,경기 고양시병,Gyeonggi | Goyang C,"['산업통상자원중소벤처기업위원회', '예산결산특별위원회']","['Trade, Industry, Energy, SMEs, and Startups Committee', 'Special Committee on Budget and Accounts']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9970796111254078,67.0,0.8715814506539834,109,0.1284185493460166,198,0.995225102319236,0.9970796111254078,0.9124094838984813,0.9155865251117746
9770968,신동근,申東根,Shin Dongkun,M,1961-12-22,60.515068493150686,인천 서구을,Incheon | Seo B,['국토교통위원회'],"['Land, Infrastructure and Transport Committee']",2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9937681168737355,126.0,0.8650416171224733,115,0.1349583828775267,193,0.9896907216494846,0.9937681168737355,0.9245293965352571,0.9172592168647861
9771118,윤건영,尹建永,Youn Kunyoung,M,1969-09-26,52.75342465753425,서울 구로구을,Seoul | Guro B,"['외교통일위원회', '정보위원회']","['Foreign Affairs and Unification Committee', 'Intelligence Committee']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9968776135558637,69.0,0.8507728894173603,126,0.1492271105826397,182,0.9930118798043326,0.9968776135558637,0.9191145232940862,0.9296893871476155
9770811,윤영석,尹永碩,Yoon Youngseok,M,1964-10-07,57.723287671232875,경남 양산시갑,S. Gyeongsang | Yangsan A,"['산업통상자원중소벤처기업위원회', '예산결산특별위원회']","['Trade, Industry, Energy, SMEs, and Startups Committee', 'Special Committee on Budget and Accounts']",3,국민의힘,People Power Party,국민의힘,People Power Party,0.9447937356020428,236.0,0.18014268727705113,298,0.8198573127229489,10,0.9405940594059405,0.9498758940020698,0.9117561921018775,0.9447937356020428
9771111,김영배,金永培,Kim Youngbae,M,1967-03-08,55.30684931506849,서울 성북구갑,Seoul | Seongbuk A,['법제사법위원회'],['Legislation and Judiciary Committee'],1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9987745920261084,16.0,0.9239001189060642,65,0.07609988109393584,243,0.9987129987129987,0.9987745920261084,0.920813441443008,0.9207856445800615
9771103,정점식,鄭点植,Jeong Jeomsig,M,1965-07-15,56.95342465753425,경남 통영시고성군,S. Gyeongsang | Tongyeong-Goseong,['농림축산식품해양수산위원회'],"['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee']",2,국민의힘,People Power Party,국민의힘,People Power Party,0.9411444794583287,241.0,0.7092746730083235,201,0.2907253269916765,106,0.8600167644593462,0.8557957317941747,0.8204808104961806,0.9411444794583287
9771119,최기상,崔基相,Choi Kisang,M,1969-10-07,52.723287671232875,서울 금천구,Seoul | Geumcheon,"['법제사법위원회', '예산결산특별위원회', '윤리특별위원회']","['Legislation and Judiciary Committee', 'Special Committee on Budget and Accounts', 'Special Committee on Ethics']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9983918418260851,31.0,0.8900118906064209,89,0.10998810939357906,219,0.9973279893119572,0.9983918418260851,0.9290594759089684,0.9322950341198242
9771141,류성걸,柳性杰,Yoo Sungkull,M,1957-07-12,64.96164383561644,대구 동구갑,Daegu | Dong A,['기획재정위원회'],['Strategy and Finance Committee'],2,국민의힘,People Power Party,국민의힘,People Power Party,0.9496892145302898,225.0,0.8317479191438764,138,0.16825208085612364,170,0.9035025017869907,0.905894982700928,0.8710899706148093,0.9496892145302898
9771116,강선우,姜仙祐,Kang Sunwoo,F,1978-06-02,44.07123287671233,서울 강서구갑,Seoul | Gangseo A,"['보건복지위원회', '예산결산특별위원회']","['Health and Welfare Committee', 'Special Committee on Budget and Accounts']",1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9980241548367126,42.0,0.7550535077288941,183,0.24494649227110588,124,0.9960629921259843,0.9980241548367126,0.9176480347476054,0.9132693327277887
9770852,진선미,陳善美,Jin Sunmee,F,1967-05-14,55.12328767123287,서울 강동구갑,Seoul | Gangdong A,['국토교통위원회'],"['Land, Infrastructure and Transport Committee']",3,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9967872757673222,73.0,0.9233055885850179,66,0.07669441141498212,242,0.9942047649710238,0.9967872757673222,0.9290928782716065,0.9317994284266261
9770090,박병석,朴炳錫,Park Byeongseug,M,1952-01-25,70.42191780821918,대전 서구갑,Daejeon | Seo A,[],[],6,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9983020593208664,34.0,0.5862068965517241,243,0.4137931034482759,65,0.9959432048681541,0.9983020593208664,0.9015420708073769,0.9306263553425753
9770770,박범계,朴範界,Park Beomkye,M,1963-04-27,59.16986301369863,대전 서구을,Daejeon | Seo B,['환경노동위원회'],['Environment and Labor Committee'],3,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9986747296545173,21.0,0.26516052318668254,292,0.7348394768133175,16,0.9977578475336323,0.9986747296545173,0.8832993978749171,0.8632707157695356
9771091,맹성규,孟聖奎,Maeng Sungkyu,M,1962-04-05,60.23013698630137,인천 남동구갑,Incheon | Namdong A,"['농림축산식품해양수산위원회', '예산결산특별위원회']","['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee', 'Special Committee on Budget and Accounts']",2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9997818064351176,5.0,0.8638525564803805,116,0.1361474435196195,192,1.0,0.9997818064351176,0.9267307882669779,0.9378193983939865
9771195,김선교,金善敎,Kim Sungyo,M,1960-09-18,61.775342465753425,경기 여주시양평군,Gyeonggi | Yeoju-Yangpyeong,"['농림축산식품해양수산위원회', '예산결산특별위원회']","['Agriculture, Food, Rural Affairs, Oceans and Fisheries Committee', 'Special Committee on Budget and Accounts']",1,미래통합당,United Future Party,국민의힘,People Power Party,0.9274104466349151,255.0,0.751486325802616,189,0.24851367419738402,118,0.8781645569620253,0.8793420792149985,0.8603382092247743,0.9274104466349151
9771273,양경숙,梁敬淑,Yang Kyungsook,F,1962-09-06,59.80821917808219,비례대표,Proportional seat,"['기획재정위원회', '여성가족위원회', '예산결산특별위원회']","['Strategy and Finance Committee', 'Gender Equality and Family Committee', 'Special Committee on Budget and Accounts']",1,더불어시민당,Platform Party,더불어민주당,Democratic Party of Korea,0.9974429129590413,60.0,0.9839476813317479,14,0.016052318668252075,294,0.9939577039274925,0.9974429129590413,0.925031881330812,0.9224322702171441
9771007,강훈식,姜勳植,Kang Hoonsik,M,1973-10-24,48.676712328767124,충남 아산시을,S. Chungcheong | Asan B,['산업통상자원중소벤처기업위원회'],"['Trade, Industry, Energy, SMEs, and Startups Committee']",2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9968168763431419,72.0,0.7122473246135553,200,0.28775267538644467,108,0.9941569282136895,0.9968168763431419,0.9146623114020834,0.9268223069808185
9770753,노웅래,盧雄來,Noh Woongrae,M,1957-08-03,64.9013698630137,서울 마포구갑,Seoul | Mapo A,"['환경노동위원회', '정보위원회']","['Environment and Labor Committee', 'Intelligence Committee']",4,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9961578902628491,90.0,0.9429250891795482,45,0.057074910820451796,263,0.9930643127364439,0.9961578902628491,0.9198335137535144,0.9237168834397245
9771115,이용선,李庸瑄,Lee Yongsun,M,1958-02-12,64.37260273972603,서울 양천구을,Seoul | Yangcheon B,['외교통일위원회'],['Foreign Affairs and Unification Committee'],1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9973380192776139,62.0,0.9256837098692033,64,0.07431629013079666,244,0.9955041746949261,0.9973380192776139,0.917645500305498,0.9229706025695137
